T1,T2,T3,T4
2.495842246,2.495842246,2.495842246,2.495842246
2.239728082,2.239728082,2.239728082,2.239728082
1.894951659,1.894951659,1.894951659,1.894951659
2.022144119,2.022144119,2.022144119,2.022144119
2.151734518,2.151734518,2.151734518,2.151734518
2.164124098,2.164124098,2.164124098,2.164124098
2.13811454,2.13811454,2.13811454,2.13811454
2.149628129,2.149628129,2.149628129,2.149628129
2.145940945,2.145940945,2.145940945,2.145940945
2.312598441,2.312598441,2.312598441,2.312598441
1.896298411,1.896298411,1.896298411,1.896298411
1.685089785,1.685089785,1.685089785,1.685089785
1.523808596,1.523808596,1.523808596,1.523808596
1.478088587,1.478088587,1.478088587,1.478088587
1.46545694,1.46545694,1.46545694,1.46545694
1.538792711,1.538792711,1.538792711,1.538792711
1.495227238,1.495227238,1.495227238,1.495227238
1.43690768,1.43690768,1.43690768,1.43690768
1.498917096,1.498917096,1.498917096,1.498917096
1.549420948,1.549420948,1.549420948,1.549420948
1.518647608,1.518647608,1.518647608,1.518647608
1.512504977,1.512504977,1.512504977,1.512504977
1.700409585,1.700409585,1.700409585,1.700409585
2.056231511,2.056231511,2.056231511,2.056231511
2.481209864,2.481209864,2.481209864,2.481209864
2.203325668,2.203325668,2.203325668,2.203325668
1.93605901,1.93605901,1.93605901,1.93605901
2.060907025,2.060907025,2.060907025,2.060907025
2.138466274,2.138466274,2.138466274,2.138466274
2.16809882,2.16809882,2.16809882,2.16809882
